,month,Source,Browser,angebot_click,vorteile_click,click,page_view,conversion_rate,angebot_cr,vorteile_cr
0,2023-07-01,Direct,Chrome,6,0,6,13,0.46153846153846156,0.46153846153846156,0.0
1,2023-07-01,Direct,Edge,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
2,2023-07-01,Direct,Firefox,3,0,3,8,0.375,0.375,0.0
3,2023-07-01,Direct,Safari,5,0,5,10,0.5,0.5,0.0
4,2023-07-01,Google,Chrome,5,0,5,11,0.45454545454545453,0.45454545454545453,0.0
5,2023-07-01,Google,Edge,3,0,3,9,0.3333333333333333,0.3333333333333333,0.0
6,2023-07-01,Google,Firefox,3,0,3,7,0.42857142857142855,0.42857142857142855,0.0
7,2023-07-01,Google,Safari,6,0,6,11,0.5454545454545454,0.5454545454545454,0.0
8,2023-07-01,Referral,Chrome,7,0,7,10,0.7,0.7,0.0
9,2023-07-01,Referral,Edge,5,0,5,10,0.5,0.5,0.0
10,2023-07-01,Referral,Firefox,6,0,6,8,0.75,0.75,0.0
11,2023-07-01,Referral,Safari,8,0,8,13,0.6153846153846154,0.6153846153846154,0.0
12,2023-07-01,Social Media,Chrome,6,0,6,13,0.46153846153846156,0.46153846153846156,0.0
13,2023-07-01,Social Media,Edge,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
14,2023-07-01,Social Media,Firefox,4,0,4,7,0.5714285714285714,0.5714285714285714,0.0
15,2023-07-01,Social Media,Safari,7,0,7,12,0.5833333333333334,0.5833333333333334,0.0
16,2023-08-01,Direct,Chrome,10,0,10,16,0.625,0.625,0.0
17,2023-08-01,Direct,Edge,13,0,13,17,0.7647058823529411,0.7647058823529411,0.0
18,2023-08-01,Direct,Firefox,5,0,5,10,0.5,0.5,0.0
19,2023-08-01,Direct,Safari,6,0,6,14,0.42857142857142855,0.42857142857142855,0.0
20,2023-08-01,Google,Chrome,3,0,3,7,0.42857142857142855,0.42857142857142855,0.0
21,2023-08-01,Google,Edge,7,0,7,12,0.5833333333333334,0.5833333333333334,0.0
22,2023-08-01,Google,Firefox,6,0,6,15,0.4,0.4,0.0
23,2023-08-01,Google,Safari,9,0,9,13,0.6923076923076923,0.6923076923076923,0.0
24,2023-08-01,Referral,Chrome,4,0,4,8,0.5,0.5,0.0
25,2023-08-01,Referral,Edge,5,0,5,17,0.29411764705882354,0.29411764705882354,0.0
26,2023-08-01,Referral,Firefox,7,0,7,13,0.5384615384615384,0.5384615384615384,0.0
27,2023-08-01,Referral,Safari,5,0,5,13,0.38461538461538464,0.38461538461538464,0.0
28,2023-08-01,Social Media,Chrome,7,0,7,17,0.4117647058823529,0.4117647058823529,0.0
29,2023-08-01,Social Media,Edge,6,0,6,12,0.5,0.5,0.0
30,2023-08-01,Social Media,Firefox,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
31,2023-08-01,Social Media,Safari,2,0,2,5,0.4,0.4,0.0
32,2023-09-01,Direct,Chrome,4,0,4,10,0.4,0.4,0.0
33,2023-09-01,Direct,Edge,8,0,8,12,0.6666666666666666,0.6666666666666666,0.0
34,2023-09-01,Direct,Firefox,5,0,5,6,0.8333333333333334,0.8333333333333334,0.0
35,2023-09-01,Direct,Safari,3,0,3,7,0.42857142857142855,0.42857142857142855,0.0
36,2023-09-01,Google,Chrome,6,0,6,11,0.5454545454545454,0.5454545454545454,0.0
37,2023-09-01,Google,Edge,2,0,2,6,0.3333333333333333,0.3333333333333333,0.0
38,2023-09-01,Google,Firefox,6,0,6,13,0.46153846153846156,0.46153846153846156,0.0
39,2023-09-01,Google,Safari,3,0,3,9,0.3333333333333333,0.3333333333333333,0.0
40,2023-09-01,Referral,Chrome,6,0,6,14,0.42857142857142855,0.42857142857142855,0.0
41,2023-09-01,Referral,Edge,1,0,1,5,0.2,0.2,0.0
42,2023-09-01,Referral,Firefox,6,0,6,10,0.6,0.6,0.0
43,2023-09-01,Referral,Safari,4,0,4,10,0.4,0.4,0.0
44,2023-09-01,Social Media,Chrome,5,0,5,7,0.7142857142857143,0.7142857142857143,0.0
45,2023-09-01,Social Media,Edge,1,0,1,11,0.09090909090909091,0.09090909090909091,0.0
46,2023-09-01,Social Media,Firefox,2,0,2,3,0.6666666666666666,0.6666666666666666,0.0
47,2023-09-01,Social Media,Safari,2,0,2,7,0.2857142857142857,0.2857142857142857,0.0
48,2023-10-01,Direct,Chrome,8,0,8,16,0.5,0.5,0.0
49,2023-10-01,Direct,Edge,5,0,5,10,0.5,0.5,0.0
50,2023-10-01,Direct,Firefox,6,0,6,10,0.6,0.6,0.0
51,2023-10-01,Direct,Safari,8,0,8,10,0.8,0.8,0.0
52,2023-10-01,Google,Chrome,2,0,2,9,0.2222222222222222,0.2222222222222222,0.0
53,2023-10-01,Google,Edge,6,0,6,13,0.46153846153846156,0.46153846153846156,0.0
54,2023-10-01,Google,Firefox,5,0,5,8,0.625,0.625,0.0
55,2023-10-01,Google,Safari,5,0,5,12,0.4166666666666667,0.4166666666666667,0.0
56,2023-10-01,Referral,Chrome,6,0,6,15,0.4,0.4,0.0
57,2023-10-01,Referral,Edge,1,0,1,4,0.25,0.25,0.0
58,2023-10-01,Referral,Firefox,2,0,2,8,0.25,0.25,0.0
59,2023-10-01,Referral,Safari,1,0,1,9,0.1111111111111111,0.1111111111111111,0.0
60,2023-10-01,Social Media,Chrome,2,0,2,9,0.2222222222222222,0.2222222222222222,0.0
61,2023-10-01,Social Media,Edge,8,0,8,20,0.4,0.4,0.0
62,2023-10-01,Social Media,Firefox,3,0,3,10,0.3,0.3,0.0
63,2023-10-01,Social Media,Safari,7,0,7,14,0.5,0.5,0.0
64,2023-11-01,Direct,Chrome,7,0,7,12,0.5833333333333334,0.5833333333333334,0.0
65,2023-11-01,Direct,Edge,3,0,3,6,0.5,0.5,0.0
66,2023-11-01,Direct,Firefox,6,0,6,14,0.42857142857142855,0.42857142857142855,0.0
67,2023-11-01,Direct,Safari,3,0,3,5,0.6,0.6,0.0
68,2023-11-01,Google,Chrome,6,0,6,13,0.46153846153846156,0.46153846153846156,0.0
69,2023-11-01,Google,Edge,7,0,7,13,0.5384615384615384,0.5384615384615384,0.0
70,2023-11-01,Google,Firefox,3,0,3,9,0.3333333333333333,0.3333333333333333,0.0
71,2023-11-01,Google,Safari,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
72,2023-11-01,Referral,Chrome,5,0,5,9,0.5555555555555556,0.5555555555555556,0.0
73,2023-11-01,Referral,Edge,9,0,9,10,0.9,0.9,0.0
74,2023-11-01,Referral,Firefox,4,0,4,6,0.6666666666666666,0.6666666666666666,0.0
75,2023-11-01,Referral,Safari,4,0,4,12,0.3333333333333333,0.3333333333333333,0.0
76,2023-11-01,Social Media,Chrome,6,0,6,12,0.5,0.5,0.0
77,2023-11-01,Social Media,Edge,2,0,2,6,0.3333333333333333,0.3333333333333333,0.0
78,2023-11-01,Social Media,Firefox,5,0,5,11,0.45454545454545453,0.45454545454545453,0.0
79,2023-11-01,Social Media,Safari,9,0,9,12,0.75,0.75,0.0
80,2023-12-01,Direct,Chrome,7,0,7,16,0.4375,0.4375,0.0
81,2023-12-01,Direct,Edge,7,0,7,11,0.6363636363636364,0.6363636363636364,0.0
82,2023-12-01,Direct,Firefox,9,0,9,17,0.5294117647058824,0.5294117647058824,0.0
83,2023-12-01,Direct,Safari,3,0,3,6,0.5,0.5,0.0
84,2023-12-01,Google,Chrome,5,0,5,14,0.35714285714285715,0.35714285714285715,0.0
85,2023-12-01,Google,Edge,6,0,6,11,0.5454545454545454,0.5454545454545454,0.0
86,2023-12-01,Google,Firefox,7,0,7,13,0.5384615384615384,0.5384615384615384,0.0
87,2023-12-01,Google,Safari,5,0,5,13,0.38461538461538464,0.38461538461538464,0.0
88,2023-12-01,Referral,Chrome,3,0,3,10,0.3,0.3,0.0
89,2023-12-01,Referral,Edge,9,0,9,13,0.6923076923076923,0.6923076923076923,0.0
90,2023-12-01,Referral,Firefox,3,0,3,9,0.3333333333333333,0.3333333333333333,0.0
91,2023-12-01,Referral,Safari,4,0,4,10,0.4,0.4,0.0
92,2023-12-01,Social Media,Chrome,1,0,1,5,0.2,0.2,0.0
93,2023-12-01,Social Media,Edge,1,0,1,5,0.2,0.2,0.0
94,2023-12-01,Social Media,Firefox,4,0,4,8,0.5,0.5,0.0
95,2023-12-01,Social Media,Safari,6,0,6,12,0.5,0.5,0.0
96,2024-01-01,Direct,Chrome,7,0,7,20,0.35,0.35,0.0
97,2024-01-01,Direct,Edge,4,0,4,10,0.4,0.4,0.0
98,2024-01-01,Direct,Firefox,8,0,8,11,0.7272727272727273,0.7272727272727273,0.0
99,2024-01-01,Direct,Safari,10,0,10,18,0.5555555555555556,0.5555555555555556,0.0
100,2024-01-01,Google,Chrome,4,0,4,9,0.4444444444444444,0.4444444444444444,0.0
101,2024-01-01,Google,Edge,5,0,5,11,0.45454545454545453,0.45454545454545453,0.0
102,2024-01-01,Google,Firefox,6,0,6,8,0.75,0.75,0.0
103,2024-01-01,Google,Safari,2,0,2,6,0.3333333333333333,0.3333333333333333,0.0
104,2024-01-01,Referral,Chrome,3,0,3,5,0.6,0.6,0.0
105,2024-01-01,Referral,Edge,1,0,1,2,0.5,0.5,0.0
106,2024-01-01,Referral,Firefox,3,0,3,9,0.3333333333333333,0.3333333333333333,0.0
107,2024-01-01,Referral,Safari,8,0,8,16,0.5,0.5,0.0
108,2024-01-01,Social Media,Chrome,5,0,5,10,0.5,0.5,0.0
109,2024-01-01,Social Media,Edge,3,0,3,8,0.375,0.375,0.0
110,2024-01-01,Social Media,Firefox,2,0,2,4,0.5,0.5,0.0
111,2024-01-01,Social Media,Safari,5,0,5,12,0.4166666666666667,0.4166666666666667,0.0
112,2024-02-01,Direct,Chrome,2,6,8,13,0.6153846153846154,0.15384615384615385,0.46153846153846156
113,2024-02-01,Direct,Edge,2,3,5,10,0.5,0.2,0.3
114,2024-02-01,Direct,Firefox,2,4,6,12,0.5,0.16666666666666666,0.3333333333333333
115,2024-02-01,Direct,Safari,6,4,10,17,0.5882352941176471,0.35294117647058826,0.23529411764705882
116,2024-02-01,Google,Chrome,3,3,6,12,0.5,0.25,0.25
117,2024-02-01,Google,Edge,5,5,10,10,1.0,0.5,0.5
118,2024-02-01,Google,Firefox,3,4,7,10,0.7,0.3,0.4
119,2024-02-01,Google,Safari,5,4,9,12,0.75,0.4166666666666667,0.3333333333333333
120,2024-02-01,Referral,Chrome,2,2,4,8,0.5,0.25,0.25
121,2024-02-01,Referral,Edge,7,2,9,14,0.6428571428571429,0.5,0.14285714285714285
122,2024-02-01,Referral,Firefox,5,5,10,13,0.7692307692307693,0.38461538461538464,0.38461538461538464
123,2024-02-01,Referral,Safari,2,1,3,4,0.75,0.5,0.25
124,2024-02-01,Social Media,Chrome,4,5,9,15,0.6,0.26666666666666666,0.3333333333333333
125,2024-02-01,Social Media,Edge,2,2,4,10,0.4,0.2,0.2
126,2024-02-01,Social Media,Firefox,4,5,9,14,0.6428571428571429,0.2857142857142857,0.35714285714285715
127,2024-02-01,Social Media,Safari,3,6,9,13,0.6923076923076923,0.23076923076923078,0.46153846153846156
128,2024-03-01,Direct,Chrome,3,7,10,14,0.7142857142857143,0.21428571428571427,0.5
129,2024-03-01,Direct,Edge,2,2,4,4,1.0,0.5,0.5
130,2024-03-01,Direct,Firefox,5,4,9,12,0.75,0.4166666666666667,0.3333333333333333
131,2024-03-01,Direct,Safari,2,4,6,9,0.6666666666666666,0.2222222222222222,0.4444444444444444
132,2024-03-01,Google,Chrome,0,3,3,7,0.42857142857142855,0.0,0.42857142857142855
133,2024-03-01,Google,Edge,4,2,6,10,0.6,0.4,0.2
134,2024-03-01,Google,Firefox,4,2,6,8,0.75,0.5,0.25
135,2024-03-01,Google,Safari,6,0,6,8,0.75,0.75,0.0
136,2024-03-01,Referral,Chrome,1,5,6,7,0.8571428571428571,0.14285714285714285,0.7142857142857143
137,2024-03-01,Referral,Edge,1,5,6,10,0.6,0.1,0.5
138,2024-03-01,Referral,Firefox,2,4,6,8,0.75,0.25,0.5
139,2024-03-01,Referral,Safari,2,5,7,11,0.6363636363636364,0.18181818181818182,0.45454545454545453
140,2024-03-01,Social Media,Chrome,1,3,4,4,1.0,0.25,0.75
141,2024-03-01,Social Media,Edge,3,5,8,8,1.0,0.375,0.625
142,2024-03-01,Social Media,Firefox,5,3,8,16,0.5,0.3125,0.1875
143,2024-03-01,Social Media,Safari,6,5,11,17,0.6470588235294118,0.35294117647058826,0.29411764705882354
144,2024-04-01,Direct,Chrome,3,4,7,7,1.0,0.42857142857142855,0.5714285714285714
145,2024-04-01,Direct,Edge,3,4,7,13,0.5384615384615384,0.23076923076923078,0.3076923076923077
146,2024-04-01,Direct,Firefox,2,8,10,12,0.8333333333333334,0.16666666666666666,0.6666666666666666
147,2024-04-01,Direct,Safari,2,7,9,13,0.6923076923076923,0.15384615384615385,0.5384615384615384
148,2024-04-01,Google,Chrome,2,7,9,11,0.8181818181818182,0.18181818181818182,0.6363636363636364
149,2024-04-01,Google,Edge,4,2,6,13,0.46153846153846156,0.3076923076923077,0.15384615384615385
150,2024-04-01,Google,Firefox,3,2,5,9,0.5555555555555556,0.3333333333333333,0.2222222222222222
151,2024-04-01,Google,Safari,6,2,8,9,0.8888888888888888,0.6666666666666666,0.2222222222222222
152,2024-04-01,Referral,Chrome,6,1,7,16,0.4375,0.375,0.0625
153,2024-04-01,Referral,Edge,1,3,4,8,0.5,0.125,0.375
154,2024-04-01,Referral,Firefox,1,5,6,7,0.8571428571428571,0.14285714285714285,0.7142857142857143
155,2024-04-01,Referral,Safari,4,4,8,10,0.8,0.4,0.4
156,2024-04-01,Social Media,Chrome,4,3,7,12,0.5833333333333334,0.3333333333333333,0.25
157,2024-04-01,Social Media,Edge,5,3,8,12,0.6666666666666666,0.4166666666666667,0.25
158,2024-04-01,Social Media,Firefox,2,1,3,6,0.5,0.3333333333333333,0.16666666666666666
159,2024-04-01,Social Media,Safari,5,8,13,18,0.7222222222222222,0.2777777777777778,0.4444444444444444
160,2024-05-01,Direct,Chrome,3,5,8,9,0.8888888888888888,0.3333333333333333,0.5555555555555556
161,2024-05-01,Direct,Edge,4,0,4,8,0.5,0.5,0.0
162,2024-05-01,Direct,Firefox,4,4,8,12,0.6666666666666666,0.3333333333333333,0.3333333333333333
163,2024-05-01,Direct,Safari,6,3,9,11,0.8181818181818182,0.5454545454545454,0.2727272727272727
164,2024-05-01,Google,Chrome,7,5,12,19,0.631578947368421,0.3684210526315789,0.2631578947368421
165,2024-05-01,Google,Edge,5,3,8,12,0.6666666666666666,0.4166666666666667,0.25
166,2024-05-01,Google,Firefox,7,2,9,14,0.6428571428571429,0.5,0.14285714285714285
167,2024-05-01,Google,Safari,6,3,9,12,0.75,0.5,0.25
168,2024-05-01,Referral,Chrome,3,3,6,11,0.5454545454545454,0.2727272727272727,0.2727272727272727
169,2024-05-01,Referral,Edge,1,3,4,6,0.6666666666666666,0.16666666666666666,0.5
170,2024-05-01,Referral,Firefox,5,0,5,6,0.8333333333333334,0.8333333333333334,0.0
171,2024-05-01,Referral,Safari,1,2,3,5,0.6,0.2,0.4
172,2024-05-01,Social Media,Chrome,1,4,5,9,0.5555555555555556,0.1111111111111111,0.4444444444444444
173,2024-05-01,Social Media,Edge,2,3,5,10,0.5,0.2,0.3
174,2024-05-01,Social Media,Firefox,4,4,8,9,0.8888888888888888,0.4444444444444444,0.4444444444444444
175,2024-05-01,Social Media,Safari,7,2,9,13,0.6923076923076923,0.5384615384615384,0.15384615384615385
176,2024-06-01,Direct,Chrome,3,2,5,8,0.625,0.375,0.25
177,2024-06-01,Direct,Edge,1,2,3,4,0.75,0.25,0.5
178,2024-06-01,Direct,Firefox,1,3,4,11,0.36363636363636365,0.09090909090909091,0.2727272727272727
179,2024-06-01,Direct,Safari,4,2,6,9,0.6666666666666666,0.4444444444444444,0.2222222222222222
180,2024-06-01,Google,Chrome,4,5,9,12,0.75,0.3333333333333333,0.4166666666666667
181,2024-06-01,Google,Edge,6,5,11,14,0.7857142857142857,0.42857142857142855,0.35714285714285715
182,2024-06-01,Google,Firefox,1,3,4,7,0.5714285714285714,0.14285714285714285,0.42857142857142855
183,2024-06-01,Google,Safari,1,4,5,9,0.5555555555555556,0.1111111111111111,0.4444444444444444
184,2024-06-01,Referral,Chrome,6,7,13,15,0.8666666666666667,0.4,0.4666666666666667
185,2024-06-01,Referral,Edge,3,4,7,11,0.6363636363636364,0.2727272727272727,0.36363636363636365
186,2024-06-01,Referral,Firefox,2,2,4,11,0.36363636363636365,0.18181818181818182,0.18181818181818182
187,2024-06-01,Referral,Safari,6,5,11,14,0.7857142857142857,0.42857142857142855,0.35714285714285715
188,2024-06-01,Social Media,Chrome,1,5,6,11,0.5454545454545454,0.09090909090909091,0.45454545454545453
189,2024-06-01,Social Media,Edge,8,7,15,19,0.7894736842105263,0.42105263157894735,0.3684210526315789
190,2024-06-01,Social Media,Firefox,3,2,5,6,0.8333333333333334,0.5,0.3333333333333333
191,2024-06-01,Social Media,Safari,4,3,7,10,0.7,0.4,0.3
192,2024-07-01,Direct,Chrome,2,5,7,13,0.5384615384615384,0.15384615384615385,0.38461538461538464
193,2024-07-01,Direct,Edge,4,4,8,12,0.6666666666666666,0.3333333333333333,0.3333333333333333
194,2024-07-01,Direct,Firefox,2,3,5,12,0.4166666666666667,0.16666666666666666,0.25
195,2024-07-01,Direct,Safari,2,3,5,8,0.625,0.25,0.375
196,2024-07-01,Google,Chrome,4,3,7,10,0.7,0.4,0.3
197,2024-07-01,Google,Edge,4,2,6,8,0.75,0.5,0.25
198,2024-07-01,Google,Firefox,5,2,7,10,0.7,0.5,0.2
199,2024-07-01,Google,Safari,2,5,7,12,0.5833333333333334,0.16666666666666666,0.4166666666666667
200,2024-07-01,Referral,Chrome,4,3,7,9,0.7777777777777778,0.4444444444444444,0.3333333333333333
201,2024-07-01,Referral,Edge,5,2,7,12,0.5833333333333334,0.4166666666666667,0.16666666666666666
202,2024-07-01,Referral,Firefox,3,5,8,11,0.7272727272727273,0.2727272727272727,0.45454545454545453
203,2024-07-01,Referral,Safari,4,1,5,8,0.625,0.5,0.125
204,2024-07-01,Social Media,Chrome,4,4,8,13,0.6153846153846154,0.3076923076923077,0.3076923076923077
205,2024-07-01,Social Media,Edge,3,6,9,11,0.8181818181818182,0.2727272727272727,0.5454545454545454
206,2024-07-01,Social Media,Firefox,5,5,10,14,0.7142857142857143,0.35714285714285715,0.35714285714285715
207,2024-07-01,Social Media,Safari,3,5,8,10,0.8,0.3,0.5
